,GEOID_Data,facility_type,X.1,X,FID,OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,area_sqr_m,land_ratio,ORIG_FID,POINT_X,POINT_Y,facility_name,facility_lat,facility_lng,distance_rank,Dist_km_bm,Dur_min_bm,Dist_km_rt,Dur_min_rt,time,Dist_km_rg,Dur_min_rg
5690,14000US39035161200,grocery,1207,6031,571,53017,39,35,161200,39035161200,1612,Census Tract 1612,G5020,S,707146,0,41.477486,-81.8027618,0.045698879,7.62E-05,0.27303,1,571,-81.80276178,41.47748629,Urban Bulk Foods,41.477452,-81.803484,0,0.06,0.133333333,0.06,0.1,1/19/2019 16:00,0.06,0.116666667
5693,14000US39035161200,hospital,572,2856,571,53017,39,35,161200,39035161200,1612,Census Tract 1612,G5020,S,707146,0,41.477486,-81.8027618,0.045698879,7.62E-05,0.27303,1,571,-81.80276178,41.47748629,MetroHealth,41.4504689,-81.8017469,0,3.557,7.383333333,3.557,8.516666667,1/19/2019 16:00,3.557,7.283333333
5697,14000US39035161200,police,2477,12381,571,53017,39,35,161200,39035161200,1612,Census Tract 1612,G5020,S,707146,0,41.477486,-81.8027618,0.045698879,7.62E-05,0.27303,1,571,-81.80276178,41.47748629,Lakewood Fire Department,41.4767836,-81.7993159,0,0.29,1.033333333,0.29,0.816666667,1/19/2019 16:00,0.29,0.85
5703,14000US39035161300,center,2617,12777,76,50769,39,35,161300,39035161300,1613,Census Tract 1613,G5020,S,802121,0,41.4776218,-81.7973026,0.043323458,8.65E-05,0.309701,1,76,-81.79730256,41.47762202,Cleveland Downtown,41.5047834,-81.6856808,0,16.461,15.26666667,16.461,17.7,1/19/2019 16:00,16.461,15.4
5706,14000US39035161300,fire,1347,6731,76,50769,39,35,161300,39035161300,1613,Census Tract 1613,G5020,S,802121,0,41.4776218,-81.7973026,0.043323458,8.65E-05,0.309701,1,76,-81.79730256,41.47762202,Lakewood Fire Department,41.4767836,-81.7993159,0,0.22,0.7,0.22,0.783333333,1/19/2019 16:00,0.22,0.7
5712,14000US39035161300,grocery,712,3556,76,50769,39,35,161300,39035161300,1613,Census Tract 1613,G5020,S,802121,0,41.4776218,-81.7973026,0.043323458,8.65E-05,0.309701,1,76,-81.79730256,41.47762202,Urban Bulk Foods,41.477452,-81.803484,0,0.579,1.85,0.579,1.783333333,1/19/2019 16:00,0.579,1.766666667
5714,14000US39035161300,hospital,77,381,76,50769,39,35,161300,39035161300,1613,Census Tract 1613,G5020,S,802121,0,41.4776218,-81.7973026,0.043323458,8.65E-05,0.309701,1,76,-81.79730256,41.47762202,MetroHealth,41.4504689,-81.8017469,0,3.554,7.566666667,3.554,8.133333333,1/19/2019 16:00,3.554,7.533333333
5718,14000US39035161300,police,1982,9906,76,50769,39,35,161300,39035161300,1613,Census Tract 1613,G5020,S,802121,0,41.4776218,-81.7973026,0.043323458,8.65E-05,0.309701,1,76,-81.79730256,41.47762202,Lakewood Fire Department,41.4767836,-81.7993159,0,0.22,0.7,0.22,0.75,1/19/2019 16:00,0.22,0.7
5724,14000US39035161400,center,3113,13273,572,53018,39,35,161400,39035161400,1614,Census Tract 1614,G5020,S,932644,0,41.477906,-81.7912518,0.047446773,0.000100538,0.360096,1,572,-81.79125171,41.47790626,Cleveland Downtown,41.5047834,-81.6856808,0,15.841,14.78333333,15.841,17.01666667,1/19/2019 16:00,15.841,14.98333333
5725,14000US39035161400,fire,1843,9211,572,53018,39,35,161400,39035161400,1614,Census Tract 1614,G5020,S,932644,0,41.477906,-81.7912518,0.047446773,0.000100538,0.360096,1,572,-81.79125171,41.47790626,Lakewood Fire Department,41.4767836,-81.7993159,0,0.68,1.633333333,0.68,1.733333333,1/19/2019 16:00,0.68,1.65
5731,14000US39035161400,grocery,1208,6036,572,53018,39,35,161400,39035161400,1614,Census Tract 1614,G5020,S,932644,0,41.477906,-81.7912518,0.047446773,0.000100538,0.360096,1,572,-81.79125171,41.47790626,Food and Fancy Store,41.477344,-81.787804,0,0.496,1.5,0.496,1.6,1/19/2019 16:00,0.496,1.483333333
5734,14000US39035161400,hospital,573,2861,572,53018,39,35,161400,39035161400,1614,Census Tract 1614,G5020,S,932644,0,41.477906,-81.7912518,0.047446773,0.000100538,0.360096,1,572,-81.79125171,41.47790626,MetroHealth,41.4504689,-81.8017469,0,3.776,7.833333333,3.776,8.6,1/19/2019 16:00,3.776,7.866666667
5740,14000US39035161400,police,2478,12386,572,53018,39,35,161400,39035161400,1614,Census Tract 1614,G5020,S,932644,0,41.477906,-81.7912518,0.047446773,0.000100538,0.360096,1,572,-81.79125171,41.47790626,Lakewood Police Department,41.4850308,-81.7774277,0,2.351,5.216666667,2.351,5.6,1/19/2019 16:00,2.351,5.183333333
5744,14000US39035161500,center,3114,13274,573,53019,39,35,161500,39035161500,1615,Census Tract 1615,G5020,S,1012091,0,41.4768637,-81.7841469,0.047565158,0.000109101,0.39077,1,573,-81.78414698,41.47686398,Cleveland Downtown,41.5047834,-81.6856808,0,15.997,15.1,10.942,17.3,1/19/2019 16:00,15.997,15.21666667
5745,14000US39035161500,fire,1844,9216,573,53019,39,35,161500,39035161500,1615,Census Tract 1615,G5020,S,1012091,0,41.4768637,-81.7841469,0.047565158,0.000109101,0.39077,1,573,-81.78414698,41.47686398,Lakewood Fire Department,41.4767836,-81.7993159,0,1.25,2.783333333,1.25,3.083333333,1/19/2019 16:00,1.25,2.683333333
5749,14000US39035161500,grocery,1209,6041,573,53019,39,35,161500,39035161500,1615,Census Tract 1615,G5020,S,1012091,0,41.4768637,-81.7841469,0.047565158,0.000109101,0.39077,1,573,-81.78414698,41.47686398,Asian Bazaar,41.47676,-81.786008,0,0.151,0.3,0.151,0.316666667,1/19/2019 16:00,0.151,0.316666667
5755,14000US39035161500,hospital,574,2866,573,53019,39,35,161500,39035161500,1615,Census Tract 1615,G5020,S,1012091,0,41.4768637,-81.7841469,0.047565158,0.000109101,0.39077,1,573,-81.78414698,41.47686398,MetroHealth,41.4504689,-81.8017469,0,3.907,8.316666667,3.907,8.733333333,1/19/2019 16:00,3.907,8.083333333
5757,14000US39035161500,police,2479,12391,573,53019,39,35,161500,39035161500,1615,Census Tract 1615,G5020,S,1012091,0,41.4768637,-81.7841469,0.047565158,0.000109101,0.39077,1,573,-81.78414698,41.47686398,Lakewood Police Department,41.4850308,-81.7774277,0,1.584,3.433333333,1.584,3.583333333,1/19/2019 16:00,1.584,3.383333333
5763,14000US39035161600,center,3115,13275,574,53020,39,35,161600,39035161600,1616,Census Tract 1616,G5020,S,459445,0,41.4807236,-81.7784046,0.028223232,4.95E-05,0.177393,1,574,-81.77840462,41.48072368,Cleveland Downtown,41.5047834,-81.6856808,0,10.203,14.75,10.203,15.75,1/19/2019 16:00,10.203,15.25
5767,14000US39035161600,fire,1845,9221,574,53020,39,35,161600,39035161600,1616,Census Tract 1616,G5020,S,459445,0,41.4807236,-81.7784046,0.028223232,4.95E-05,0.177393,1,574,-81.77840462,41.48072368,Lakewood Fire Station 3,41.4891986,-81.7778904,0,1.306,3.016666667,1.306,3.033333333,1/19/2019 16:00,1.306,3.016666667
5770,14000US39035161600,grocery,1210,6046,574,53020,39,35,161600,39035161600,1616,Census Tract 1616,G5020,S,459445,0,41.4807236,-81.7784046,0.028223232,4.95E-05,0.177393,1,574,-81.77840462,41.48072368,Everest Grocery,41.483738,-81.7727989,0,0.878,1.633333333,0.878,1.833333333,1/19/2019 16:00,0.878,1.633333333
5773,14000US39035161600,hospital,575,2871,574,53020,39,35,161600,39035161600,1616,Census Tract 1616,G5020,S,459445,0,41.4807236,-81.7784046,0.028223232,4.95E-05,0.177393,1,574,-81.77840462,41.48072368,MetroHealth,41.4504689,-81.8017469,0,4.865,9.85,4.865,10.5,1/19/2019 16:00,4.865,9.633333333
5780,14000US39035161600,police,2480,12396,574,53020,39,35,161600,39035161600,1616,Census Tract 1616,G5020,S,459445,0,41.4807236,-81.7784046,0.028223232,4.95E-05,0.177393,1,574,-81.77840462,41.48072368,Lakewood Police Department,41.4850308,-81.7774277,0,0.671,1.8,0.671,1.833333333,1/19/2019 16:00,0.671,1.816666667
5783,14000US39035161700,center,3170,13330,629,53148,39,35,161700,39035161700,1617,Census Tract 1617,G5020,S,409627,0,41.4804123,-81.7719645,0.02660595,4.42E-05,0.158158,1,629,-81.77196445,41.48041231,Cleveland Downtown,41.5047834,-81.6856808,0,9.705,14.1,9.705,14.96666667,1/19/2019 16:00,9.705,14.61666667
5788,14000US39035161700,fire,1900,9496,629,53148,39,35,161700,39035161700,1617,Census Tract 1617,G5020,S,409627,0,41.4804123,-81.7719645,0.02660595,4.42E-05,0.158158,1,629,-81.77196445,41.48041231,Lakewood Fire Station 3,41.4891986,-81.7778904,0,1.425,3.4,1.425,3.416666667,1/19/2019 16:00,1.425,3.416666667
5789,14000US39035161700,grocery,1265,6321,629,53148,39,35,161700,39035161700,1617,Census Tract 1617,G5020,S,409627,0,41.4804123,-81.7719645,0.02660595,4.42E-05,0.158158,1,629,-81.77196445,41.48041231,ALDI,41.4781471,-81.7699211,0,0.414,1.35,0.414,1.216666667,1/19/2019 16:00,0.414,1.233333333
5795,14000US39035161700,hospital,630,3146,629,53148,39,35,161700,39035161700,1617,Census Tract 1617,G5020,S,409627,0,41.4804123,-81.7719645,0.02660595,4.42E-05,0.158158,1,629,-81.77196445,41.48041231,MetroHealth,41.4504689,-81.8017469,0,5.174,10.5,5.174,10.65,1/19/2019 16:00,5.174,10.08333333
5800,14000US39035161700,police,2535,12671,629,53148,39,35,161700,39035161700,1617,Census Tract 1617,G5020,S,409627,0,41.4804123,-81.7719645,0.02660595,4.42E-05,0.158158,1,629,-81.77196445,41.48041231,Lakewood Police Department,41.4850308,-81.7774277,0,0.953,2.6,0.953,2.516666667,1/19/2019 16:00,0.953,2.65
5802,14000US39035161800,center,2577,12737,36,50715,39,35,161800,39035161800,1618,Census Tract 1618,G5020,S,499013,0,41.4740826,-81.7748956,0.035084753,5.38E-05,0.19267,1,36,-81.77489551,41.47408258,Cleveland Downtown,41.5047834,-81.6856808,0,10.494,16.16666667,10.494,16.65,1/19/2019 16:00,10.494,16.53333333
5807,14000US39035161800,fire,1307,6531,36,50715,39,35,161800,39035161800,1618,Census Tract 1618,G5020,S,499013,0,41.4740826,-81.7748956,0.035084753,5.38E-05,0.19267,1,36,-81.77489551,41.47408258,Fire-Tech Inc,41.464832,-81.778167,0,3.1,6.783333333,3.1,6.316666667,1/19/2019 16:00,3.1,6.283333333
5812,14000US39035161800,grocery,672,3356,36,50715,39,35,161800,39035161800,1618,Census Tract 1618,G5020,S,499013,0,41.4740826,-81.7748956,0.035084753,5.38E-05,0.19267,1,36,-81.77489551,41.47408258,ALDI,41.4781471,-81.7699211,0,0.854,2.8,0.854,2.9,1/19/2019 16:00,0.854,2.716666667
5814,14000US39035161800,hospital,37,181,36,50715,39,35,161800,39035161800,1618,Census Tract 1618,G5020,S,499013,0,41.4740826,-81.7748956,0.035084753,5.38E-05,0.19267,1,36,-81.77489551,41.47408258,MetroHealth,41.4504689,-81.8017469,0,5.353,10.98333333,5.353,10.95,1/19/2019 16:00,5.353,10.56666667
5820,14000US39035161800,police,1942,9706,36,50715,39,35,161800,39035161800,1618,Census Tract 1618,G5020,S,499013,0,41.4740826,-81.7748956,0.035084753,5.38E-05,0.19267,1,36,-81.77489551,41.47408258,Lakewood Police Department,41.4850308,-81.7774277,0,1.431,4.266666667,1.431,4.25,1/19/2019 16:00,1.431,4.266666667
5823,14000US39035170101,center,3116,13276,575,53021,39,35,170101,39035170101,1701.01,Census Tract 1701.01,G5020,S,1683175,0,41.5288591,-81.5021863,0.055990559,0.000181585,0.649877,1,575,-81.50218632,41.5288594,Cleveland Downtown,41.5047834,-81.6856808,0,24.47,25.06666667,24.47,27.16666667,1/19/2019 16:00,24.47,25.56666667
5827,14000US39035170101,fire,1846,9226,575,53021,39,35,170101,39035170101,1701.01,Census Tract 1701.01,G5020,S,1683175,0,41.5288591,-81.5021863,0.055990559,0.000181585,0.649877,1,575,-81.50218632,41.5288594,Lyndhurst Fire Department,41.5204023,-81.4879094,0,2.24,4.116666667,2.24,4.033333333,1/19/2019 16:00,2.24,4.05
5831,14000US39035170101,grocery,1211,6051,575,53021,39,35,170101,39035170101,1701.01,Census Tract 1701.01,G5020,S,1683175,0,41.5288591,-81.5021863,0.055990559,0.000181585,0.649877,1,575,-81.50218632,41.5288594,Dave's Markets Wilson Mills,41.5382028,-81.4963724,0,1.478,2.75,1.478,2.833333333,1/19/2019 16:00,1.478,2.666666667
5835,14000US39035170101,hospital,576,2876,575,53021,39,35,170101,39035170101,1701.01,Census Tract 1701.01,G5020,S,1683175,0,41.5288591,-81.5021863,0.055990559,0.000181585,0.649877,1,575,-81.50218632,41.5288594,St. Vincent Charity Medical Center,41.5021165,-81.475643,0,5.534,10.93333333,5.516,10.45,1/19/2019 16:00,5.534,10.06666667
5839,14000US39035170101,police,2481,12401,575,53021,39,35,170101,39035170101,1701.01,Census Tract 1701.01,G5020,S,1683175,0,41.5288591,-81.5021863,0.055990559,0.000181585,0.649877,1,575,-81.50218632,41.5288594,South Euclid Police Department,41.5231243,-81.5186377,0,2.236,4.316666667,2.236,4.3,1/19/2019 16:00,2.236,4.35
5842,14000US39035170102,center,2548,12708,7,50667,39,35,170102,39035170102,1701.02,Census Tract 1701.02,G5020,S,2844217,0,41.527205,-81.4873535,0.080952347,0.000306835,1.09816,1,7,-81.4859155,41.52527884,Cleveland Downtown,41.5047834,-81.6856808,0,26.008,27.43333333,26.008,30.81666667,1/19/2019 16:00,26.008,27.65
5848,14000US39035170102,fire,1278,6386,7,50667,39,35,170102,39035170102,1701.02,Census Tract 1701.02,G5020,S,2844217,0,41.527205,-81.4873535,0.080952347,0.000306835,1.09816,1,7,-81.4859155,41.52527884,Lyndhurst Fire Department,41.5204023,-81.4879094,0,0.678,1.65,0.678,1.633333333,1/19/2019 16:00,0.678,1.566666667
5849,14000US39035170102,grocery,643,3211,7,50667,39,35,170102,39035170102,1701.02,Census Tract 1701.02,G5020,S,2844217,0,41.527205,-81.4873535,0.080952347,0.000306835,1.09816,1,7,-81.4859155,41.52527884,Produce Place: Market & Deli,41.519798,-81.4791631,0,1.159,2.266666667,1.159,2.166666667,1/19/2019 16:00,1.159,2.233333333
5853,14000US39035170102,hospital,8,36,7,50667,39,35,170102,39035170102,1701.02,Census Tract 1701.02,G5020,S,2844217,0,41.527205,-81.4873535,0.080952347,0.000306835,1.09816,1,7,-81.4859155,41.52527884,St. Vincent Charity Medical Center,41.5021165,-81.475643,0,3.723,8.05,3.723,8.766666667,1/19/2019 16:00,3.723,7.6
5860,14000US39035170102,police,1913,9561,7,50667,39,35,170102,39035170102,1701.02,Census Tract 1701.02,G5020,S,2844217,0,41.527205,-81.4873535,0.080952347,0.000306835,1.09816,1,7,-81.4859155,41.52527884,Lyndhurst City Police Department,41.5203459,-81.4879691,0,0.678,1.65,0.678,1.566666667,1/19/2019 16:00,0.678,1.566666667
5862,14000US39035170201,center,3117,13277,576,53022,39,35,170201,39035170201,1702.01,Census Tract 1702.01,G5020,S,4371191,13440,41.5134842,-81.5026161,0.094963128,0.000472893,1.68773,0.998357964,576,-81.49926504,41.51025574,Cleveland Downtown,41.5047834,-81.6856808,0,34.863,28.56666667,17.374,28.65,1/19/2019 16:00,34.863,28.51666667
5867,14000US39035170201,fire,1847,9231,576,53022,39,35,170201,39035170201,1702.01,Census Tract 1702.01,G5020,S,4371191,13440,41.5134842,-81.5026161,0.094963128,0.000472893,1.68773,0.998357964,576,-81.49926504,41.51025574,Lyndhurst Fire Department,41.5204023,-81.4879094,0,2.069,4.55,2.069,4.933333333,1/19/2019 16:00,2.069,4.25
5871,14000US39035170201,grocery,1212,6056,576,53022,39,35,170201,39035170201,1702.01,Census Tract 1702.01,G5020,S,4371191,13440,41.5134842,-81.5026161,0.094963128,0.000472893,1.68773,0.998357964,576,-81.49926504,41.51025574,Giant Eagle Supermarket,41.503467,-81.4994567,0,1.204,3,1.204,2.9,1/19/2019 16:00,1.204,2.916666667
5873,14000US39035170201,hospital,577,2881,576,53022,39,35,170201,39035170201,1702.01,Census Tract 1702.01,G5020,S,4371191,13440,41.5134842,-81.5026161,0.094963128,0.000472893,1.68773,0.998357964,576,-81.49926504,41.51025574,St. Vincent Charity Medical Center,41.5021165,-81.475643,0,3.21,7.4,3.21,7.816666667,1/19/2019 16:00,3.21,6.733333333
5880,14000US39035170201,police,2482,12406,576,53022,39,35,170201,39035170201,1702.01,Census Tract 1702.01,G5020,S,4371191,13440,41.5134842,-81.5026161,0.094963128,0.000472893,1.68773,0.998357964,576,-81.49926504,41.51025574,Lyndhurst City Police Department,41.5203459,-81.4879691,0,2.069,4.55,2.069,4.45,1/19/2019 16:00,2.069,4.25
5883,14000US39035170202,center,3118,13278,577,53023,39,35,170202,39035170202,1702.02,Census Tract 1702.02,G5020,S,2580627,1195,41.5096006,-81.4794201,0.071828795,0.000278457,0.996385,1,577,-81.479177,41.51057973,Cleveland Downtown,41.5047834,-81.6856808,0,38.177,25.93333333,34.201,29.73333333,1/19/2019 16:00,38.177,26.81666667
5886,14000US39035170202,fire,1848,9236,577,53023,39,35,170202,39035170202,1702.02,Census Tract 1702.02,G5020,S,2580627,1195,41.5096006,-81.4794201,0.071828795,0.000278457,0.996385,1,577,-81.479177,41.51057973,Lyndhurst Fire Department,41.5204023,-81.4879094,0,1.763,3.6,1.763,3.516666667,1/19/2019 16:00,1.763,3.516666667
5892,14000US39035170202,grocery,1213,6061,577,53023,39,35,170202,39035170202,1702.02,Census Tract 1702.02,G5020,S,2580627,1195,41.5096006,-81.4794201,0.071828795,0.000278457,0.996385,1,577,-81.479177,41.51057973,Produce Place: Market & Deli,41.519798,-81.4791631,0,1.017,2.216666667,1.017,2.2,1/19/2019 16:00,1.017,2.216666667
5895,14000US39035170202,hospital,578,2886,577,53023,39,35,170202,39035170202,1702.02,Census Tract 1702.02,G5020,S,2580627,1195,41.5096006,-81.4794201,0.071828795,0.000278457,0.996385,1,577,-81.479177,41.51057973,St. Vincent Charity Medical Center,41.5021165,-81.475643,0,1.604,4.333333333,1.604,4.3,1/19/2019 16:00,1.604,4.133333333
5897,14000US39035170202,police,2483,12411,577,53023,39,35,170202,39035170202,1702.02,Census Tract 1702.02,G5020,S,2580627,1195,41.5096006,-81.4794201,0.071828795,0.000278457,0.996385,1,577,-81.479177,41.51057973,Lyndhurst City Police Department,41.5203459,-81.4879691,0,1.763,3.6,1.763,3.533333333,1/19/2019 16:00,1.763,3.516666667
5904,14000US39035171102,center,3119,13279,578,53024,39,35,171102,39035171102,1711.02,Census Tract 1711.02,G5020,S,2784651,0,41.4129786,-81.5470025,0.094563959,0.000299888,1.07516,1,578,-81.54700245,41.41297817,Cleveland Downtown,41.5047834,-81.6856808,0,23.481,21.86666667,23.481,23.88333333,1/19/2019 16:00,23.481,22.41666667
5907,14000US39035171102,fire,1849,9241,578,53024,39,35,171102,39035171102,1711.02,Census Tract 1711.02,G5020,S,2784651,0,41.4129786,-81.5470025,0.094563959,0.000299888,1.07516,1,578,-81.54700245,41.41297817,Maple Heights Fire Department,41.4122567,-81.5379239,0,1.808,4.483333333,1.808,4.4,1/19/2019 16:00,1.808,4.25
5912,14000US39035171102,grocery,1214,6066,578,53024,39,35,171102,39035171102,1711.02,Census Tract 1711.02,G5020,S,2784651,0,41.4129786,-81.5470025,0.094563959,0.000299888,1.07516,1,578,-81.54700245,41.41297817,Giant Eagle Pharmacy,41.4156819,-81.5354725,0,1.431,4.233333333,1.431,4.116666667,1/19/2019 16:00,1.431,4
5916,14000US39035171102,hospital,579,2891,578,53024,39,35,171102,39035171102,1711.02,Census Tract 1711.02,G5020,S,2784651,0,41.4129786,-81.5470025,0.094563959,0.000299888,1.07516,1,578,-81.54700245,41.41297817,MetroHealth Bedford Family Medicine,41.408962,-81.5380981,0,3.39,7.233333333,3.39,7.066666667,1/19/2019 16:00,3.39,6.85
5917,14000US39035171102,police,2484,12416,578,53024,39,35,171102,39035171102,1711.02,Census Tract 1711.02,G5020,S,2784651,0,41.4129786,-81.5470025,0.094563959,0.000299888,1.07516,1,578,-81.54700245,41.41297817,Maple Heights Police Department,41.414745,-81.5654942,0,2.024,4.333333333,2.024,4.366666667,1/19/2019 16:00,2.024,4.483333333
5924,14000US39035171103,center,2549,12709,8,50668,39,35,171103,39035171103,1711.03,Census Tract 1711.03,G5020,S,1907905,0,41.420575,-81.5643447,0.081644606,0.000205492,0.736646,1,8,-81.56434475,41.42057485,Cleveland Downtown,41.5047834,-81.6856808,0,19.614,20.48333333,19.614,21.73333333,1/19/2019 16:00,19.614,20.81666667
5926,14000US39035171103,fire,1279,6391,8,50668,39,35,171103,39035171103,1711.03,Census Tract 1711.03,G5020,S,1907905,0,41.420575,-81.5643447,0.081644606,0.000205492,0.736646,1,8,-81.56434475,41.42057485,Maple Heights Fire Prevention,41.4039496,-81.5757196,0,3.575,6.366666667,3.575,6.316666667,1/19/2019 16:00,3.575,6.3
5931,14000US39035171103,grocery,644,3216,8,50668,39,35,171103,39035171103,1711.03,Census Tract 1711.03,G5020,S,1907905,0,41.420575,-81.5643447,0.081644606,0.000205492,0.736646,1,8,-81.56434475,41.42057485,Old Country Sausage Kitchen,41.4171547,-81.571401,0,1.055,2.666666667,1.055,2.566666667,1/19/2019 16:00,1.055,2.566666667
5934,14000US39035171103,hospital,9,41,8,50668,39,35,171103,39035171103,1711.03,Census Tract 1711.03,G5020,S,1907905,0,41.420575,-81.5643447,0.081644606,0.000205492,0.736646,1,8,-81.56434475,41.42057485,University Hospitals Bedford Medical Center,41.395153,-81.534437,0,5.199,9.883333333,5.199,9.866666667,1/19/2019 16:00,5.199,9.383333333
5940,14000US39035171103,police,1914,9566,8,50668,39,35,171103,39035171103,1711.03,Census Tract 1711.03,G5020,S,1907905,0,41.420575,-81.5643447,0.081644606,0.000205492,0.736646,1,8,-81.56434475,41.42057485,Maple Heights Police Department,41.414745,-81.5654942,0,0.86,2.683333333,0.86,2.633333333,1/19/2019 16:00,0.86,2.733333333
5941,14000US39035171104,center,2883,13043,342,51858,39,35,171104,39035171104,1711.04,Census Tract 1711.04,G5020,S,1599813,0,41.420558,-81.5391623,0.063151024,0.000172309,0.617691,1,342,-81.5391623,41.42055783,Cleveland Downtown,41.5047834,-81.6856808,0,22.462,19.46666667,22.462,21.06666667,1/19/2019 16:00,22.462,20
5946,14000US39035171104,fire,1613,8061,342,51858,39,35,171104,39035171104,1711.04,Census Tract 1711.04,G5020,S,1599813,0,41.420558,-81.5391623,0.063151024,0.000172309,0.617691,1,342,-81.5391623,41.42055783,Maple Heights Fire Department,41.4122567,-81.5379239,0,1.09,3.083333333,1.09,2.883333333,1/19/2019 16:00,1.09,2.933333333
5951,14000US39035171104,grocery,978,4886,342,51858,39,35,171104,39035171104,1711.04,Census Tract 1711.04,G5020,S,1599813,0,41.420558,-81.5391623,0.063151024,0.000172309,0.617691,1,342,-81.5391623,41.42055783,Giant Eagle Pharmacy,41.4156819,-81.5354725,0,0.718,2.983333333,0.718,2.85,1/19/2019 16:00,0.718,2.916666667
5955,14000US39035171104,hospital,343,1711,342,51858,39,35,171104,39035171104,1711.04,Census Tract 1711.04,G5020,S,1599813,0,41.420558,-81.5391623,0.063151024,0.000172309,0.617691,1,342,-81.5391623,41.42055783,MetroHealth Bedford Family Medicine,41.408962,-81.5380981,0,2.787,6.333333333,2.787,5.916666667,1/19/2019 16:00,2.787,6
5960,14000US39035171104,police,2248,11236,342,51858,39,35,171104,39035171104,1711.04,Census Tract 1711.04,G5020,S,1599813,0,41.420558,-81.5391623,0.063151024,0.000172309,0.617691,1,342,-81.5391623,41.42055783,North Randall Police Department,41.4274048,-81.5240589,0,2.269,5.483333333,2.269,4.783333333,1/19/2019 16:00,2.269,5.116666667
5964,14000US39035171203,center,2550,12710,9,50669,39,35,171203,39035171203,1712.03,Census Tract 1712.03,G5020,S,1814790,809,41.4129555,-81.5794576,0.06309519,0.000195526,0.700694,1,9,-81.57984672,41.41247296,Cleveland Downtown,41.5047834,-81.6856808,0,18.404,18.15,18.404,19.53333333,1/19/2019 16:00,18.404,18.58333333
5967,14000US39035171203,fire,1280,6396,9,50669,39,35,171203,39035171203,1712.03,Census Tract 1712.03,G5020,S,1814790,809,41.4129555,-81.5794576,0.06309519,0.000195526,0.700694,1,9,-81.57984672,41.41247296,Maple Heights Fire Prevention,41.4039496,-81.5757196,0,1.271,2.2,1.271,2.283333333,1/19/2019 16:00,1.271,2.283333333
5972,14000US39035171203,grocery,645,3221,9,50669,39,35,171203,39035171203,1712.03,Census Tract 1712.03,G5020,S,1814790,809,41.4129555,-81.5794576,0.06309519,0.000195526,0.700694,1,9,-81.57984672,41.41247296,Save-A-Lot,41.4152786,-81.5708195,0,2.507,5.133333333,2.507,5.066666667,1/19/2019 16:00,2.507,5.083333333
5975,14000US39035171203,hospital,10,46,9,50669,39,35,171203,39035171203,1712.03,Census Tract 1712.03,G5020,S,1814790,809,41.4129555,-81.5794576,0.06309519,0.000195526,0.700694,1,9,-81.57984672,41.41247296,University Hospitals Bedford Medical Center,41.395153,-81.534437,0,5.231,9.533333333,5.231,9.533333333,1/19/2019 16:00,5.231,9.333333333
5979,14000US39035171203,police,1915,9571,9,50669,39,35,171203,39035171203,1712.03,Census Tract 1712.03,G5020,S,1814790,809,41.4129555,-81.5794576,0.06309519,0.000195526,0.700694,1,9,-81.57984672,41.41247296,Maple Heights Police Department,41.414745,-81.5654942,0,3.106,5.883333333,3.106,5.716666667,1/19/2019 16:00,3.106,5.816666667
5983,14000US39035171204,center,3120,13280,579,53025,39,35,171204,39035171204,1712.04,Census Tract 1712.04,G5020,S,1725487,0,41.4076613,-81.5676344,0.05858861,0.000185809,0.666214,1,579,-81.56763457,41.40766133,Cleveland Downtown,41.5047834,-81.6856808,0,19.687,20.53333333,19.687,21.91666667,1/19/2019 16:00,19.687,20.86666667
5987,14000US39035171204,fire,1850,9246,579,53025,39,35,171204,39035171204,1712.04,Census Tract 1712.04,G5020,S,1725487,0,41.4076613,-81.5676344,0.05858861,0.000185809,0.666214,1,579,-81.56763457,41.40766133,Maple Heights Fire Prevention,41.4039496,-81.5757196,0,3.648,6.416666667,3.648,6.1,1/19/2019 16:00,3.648,6.35
5991,14000US39035171204,grocery,1215,6071,579,53025,39,35,171204,39035171204,1712.04,Census Tract 1712.04,G5020,S,1725487,0,41.4076613,-81.5676344,0.05858861,0.000185809,0.666214,1,579,-81.56763457,41.40766133,Mr Z Beverage & Deli,41.407665,-81.558657,0,0.845,2.166666667,0.845,2.166666667,1/19/2019 16:00,0.845,2.183333333
5996,14000US39035171204,hospital,580,2896,579,53025,39,35,171204,39035171204,1712.04,Census Tract 1712.04,G5020,S,1725487,0,41.4076613,-81.5676344,0.05858861,0.000185809,0.666214,1,579,-81.56763457,41.40766133,University Hospitals Bedford Medical Center,41.395153,-81.534437,0,3.472,7.85,3.472,7.583333333,1/19/2019 16:00,3.472,7.516666667
5999,14000US39035171204,police,2485,12421,579,53025,39,35,171204,39035171204,1712.04,Census Tract 1712.04,G5020,S,1725487,0,41.4076613,-81.5676344,0.05858861,0.000185809,0.666214,1,579,-81.56763457,41.40766133,Maple Heights Police Department,41.414745,-81.5654942,0,0.955,2.783333333,0.955,2.65,1/19/2019 16:00,0.955,2.75
